  0.1000D+00  0.2289D-06
   0.139684801   0.140000000   0.140000000
   0.006163228   0.004900000   0.004900000
   0.126692147   0.113225077   0.113225077
   0.011536270   0.024000000   0.024000000
   0.000004392   0.000004412   0.000004412
   0.001500808   0.001500000   0.001500000
   0.002574370   0.002972122   0.002972122
   0.001664319   0.000927878   0.000927878
   0.006698637   0.005000000   0.005000000
   0.000004224   0.000002821   0.000002821
   0.000611318   0.000197179   0.000197179
   0.001417886   0.001000029   0.001000029
   0.000000836   0.000000285   0.000000285
   0.000040725   0.005000000   0.005000000
  0.1000D+00  0.7845D-06
  1.4749  0.0000  0.0000
 31.3802  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139630422   0.140000000   0.140000000
   0.006188158   0.004900000   0.004900000
   0.126764859   0.113225077   0.113225077
   0.011474734   0.024000000   0.024000000
   0.000004391   0.000004412   0.000004412
   0.001500644   0.001500000   0.001500000
   0.002559726   0.002972122   0.002972122
   0.001663568   0.000927878   0.000927878
   0.006693758   0.005000000   0.005000000
   0.000004277   0.000002821   0.000002821
   0.000622334   0.000197179   0.000197179
   0.001418314   0.001000029   0.001000029
   0.000000841   0.000000285   0.000000285
   0.000040368   0.005000000   0.005000000
  0.1000D+00  0.8061D-06
  1.4897  0.0000  0.0000
 32.2437  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139577504   0.140000000   0.140000000
   0.006212794   0.004900000   0.004900000
   0.126838225   0.113225077   0.113225077
   0.011413218   0.024000000   0.024000000
   0.000004391   0.000004412   0.000004412
   0.001500488   0.001500000   0.001500000
   0.002545354   0.002972122   0.002972122
   0.001662994   0.000927878   0.000927878
   0.006689560   0.005000000   0.005000000
   0.000004330   0.000002821   0.000002821
   0.000633305   0.000197179   0.000197179
   0.001418475   0.001000029   0.001000029
   0.000000845   0.000000285   0.000000285
   0.000040029   0.005000000   0.005000000
  0.1000D+00  0.8275D-06
  1.5043  0.0000  0.0000
 33.1016  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139525925   0.140000000   0.140000000
   0.006237167   0.004900000   0.004900000
   0.126912313   0.113225077   0.113225077
   0.011351637   0.024000000   0.024000000
   0.000004390   0.000004412   0.000004412
   0.001500341   0.001500000   0.001500000
   0.002531216   0.002972122   0.002972122
   0.001662588   0.000927878   0.000927878
   0.006686004   0.005000000   0.005000000
   0.000004381   0.000002821   0.000002821
   0.000644241   0.000197179   0.000197179
   0.001418381   0.001000029   0.001000029
   0.000000850   0.000000285   0.000000285
   0.000039707   0.005000000   0.005000000
  0.1000D+00  0.8488D-06
  1.5186  0.0000  0.0000
 33.9539  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139475582   0.140000000   0.140000000
   0.006261302   0.004900000   0.004900000
   0.126987144   0.113225077   0.113225077
   0.011289955   0.024000000   0.024000000
   0.000004390   0.000004412   0.000004412
   0.001500200   0.001500000   0.001500000
   0.002517284   0.002972122   0.002972122
   0.001662339   0.000927878   0.000927878
   0.006683044   0.005000000   0.005000000
   0.000004432   0.000002821   0.000002821
   0.000655149   0.000197179   0.000197179
   0.001418046   0.001000029   0.001000029
   0.000000854   0.000000285   0.000000285
   0.000039400   0.005000000   0.005000000
  0.1000D+00  0.8700D-06
  1.5327  0.0000  0.0000
 34.8009  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139426396   0.140000000   0.140000000
   0.006285218   0.004900000   0.004900000
   0.127062698   0.113225077   0.113225077
   0.011228176   0.024000000   0.024000000
   0.000004390   0.000004412   0.000004412
   0.001500066   0.001500000   0.001500000
   0.002503537   0.002972122   0.002972122
   0.001662233   0.000927878   0.000927878
   0.006680640   0.005000000   0.005000000
   0.000004481   0.000002821   0.000002821
   0.000666033   0.000197179   0.000197179
   0.001417485   0.001000029   0.001000029
   0.000000858   0.000000285   0.000000285
   0.000039107   0.005000000   0.005000000
  0.1000D+00  0.8911D-06
  1.5466  0.0000  0.0000
 35.6428  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139378299   0.140000000   0.140000000
   0.006308931   0.004900000   0.004900000
   0.127138929   0.113225077   0.113225077
   0.011166331   0.024000000   0.024000000
   0.000004390   0.000004412   0.000004412
   0.001499938   0.001500000   0.001500000
   0.002489959   0.002972122   0.002972122
   0.001662256   0.000927878   0.000927878
